DELITO,CLASIFICACION DEL DELITO,COLONIA DEL HECHO,FECHA DE REGISTRO DEL DELITO,FECHA DEL HECHO DEL DELITO,HORA DEL HECHO DEL DELITO,MUNICIPIO
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,VALLE DORADO,24/01/19,15/01/19,16:34,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,VILLAFONTANA,30/01/19,29/01/19,16:34,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,XXXX,05/02/19,05/02/19,16:34,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,EL TECOLOTE,13/05/19,13/05/19,16:34,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,EL MEZQUITITO,09/11/19,08/11/19,16:34,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,PASEOS DEL VERGEL,24/11/19,24/11/19,16:34,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,SECCION COSTA HERMOSA,30/12/19,30/12/19,16:34,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,XXX,02/12/19,02/12/19,16:34,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,OBRERA,11/01/19,11/01/19,16:35,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,MARIANO MATAMOROS CENTRO,28/01/19,27/01/19,16:35,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,ZONA URBANA RIO TIJUANA,03/01/19,03/01/19,16:35,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,RIO TIJUANA TERCERA ETAPA,25/02/19,23/02/19,16:35,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,TERRAZAS DEL VALLE SEGUNDA SECCCION,14/06/19,13/06/19,16:35,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,RIO TIJUANA TERCERA ETAPA,19/06/19,19/06/19,16:35,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,PARQUE INDUSTRIAL MORELOS,20/06/19,19/06/19,16:35,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,VALLE BONITO,17/07/19,04/07/19,16:35,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,LOS LOBOS,28/08/19,27/08/19,16:35,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,SONORA,05/08/19,05/08/19,16:35,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),JARDINES DE LA MESA,31/08/19,31/08/19,16:35,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),BULEVAR 2000,23/09/19,14/09/19,16:35,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),TERRAZAS DEL VALLE,26/09/19,24/09/19,16:35,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),EL REFUGIO,30/09/19,26/09/19,16:35,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),MINERAL DE SANTA FE ,01/09/19,01/09/19,16:35,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,LA GLORIA,01/11/19,31/10/19,16:35,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,HACIENDA LOS VENADOS,29/11/19,29/11/19,16:35,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,EL FLORIDO PRIMERA Y SEGUNDA SECCION,26/12/19,25/12/19,16:35,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),LOS VENADOS,12/01/19,12/01/19,16:36,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,ZONA URBANA RIO TIJUANA,07/03/19,07/03/19,16:36,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,CANALIZACION RIO TIJUANA,14/06/19,13/06/19,16:36,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,CAMINO VERDE,19/06/19,19/06/19,16:36,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),PARQUE INDUSTRIAL MORELOS,19/06/19,19/06/19,16:36,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,MARIANO MATAMOROS NORTE,23/07/19,23/07/19,16:36,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),ZONA URBANA RIO TIJUANA,26/07/19,26/07/19,16:36,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,LAS VILLAS SANTA FE,09/04/19,06/04/19,16:37,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),TRES DE OCTUBRE,05/06/19,05/06/19,16:37:00,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),PARAISO AZTECA,19/07/19,19/07/19,16:37,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,RIO TIJUANA TERCERA ETAPA,30/10/19,30/10/19,16:37,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,XXX,02/10/19,02/10/19,16:37,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,CASTRO GREEN,15/11/19,15/11/19,16:37,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,XXX,12/12/19,12/12/19,16:37,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),PANAMERICANO,20/04/19,15/04/19,16:38,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,EL PIPILA,03/06/19,17/05/19,16:38,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,ZONA URBANA RIO TIJUANA,12/06/19,12/06/19,16:38,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),CAMINO VERDE,14/07/19,13/07/19,16:38,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,INTERNACIONAL,23/08/19,14/05/19,16:38,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,MARGARITA RES,11/12/19,18/10/19,16:38,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,BUENAVENTURA,27/03/19,26/02/19,16:39,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,LOMAS DE LA PRESA,19/03/19,18/03/19,16:39,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,TERRAZAS DEL VALLE SEGUNDA SECCCION,26/06/19,13/06/19,16:39,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,URBI VILLA DEL PRADO 2,07/06/19,07/06/19,16:39,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,CENTRO COMERCIAL OTAY,09/12/19,23/11/19,16:39,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CONTRERAS,07/01/19,04/01/19,16:40,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,HERRADURA,25/01/19,20/01/19,16:40,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),CAMINO VERDE,28/01/19,27/01/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,FRANCISCO VILLA,01/02/19,31/01/19,16:40,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,FRACC NATURA,09/02/19,08/02/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,PASEOS DEL VERGEL,07/02/19,07/02/19,16:40,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),RESIDENCIAL SANTA FE,02/01/19,02/01/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,BUENOS AIRES SUR,08/03/19,03/03/19,16:40,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,GUAYCURA,16/03/19,16/03/19,16:40,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,CHAMIZAL,19/03/19,19/03/19,16:40,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,AGUAJE DE LA TUNA PRIMERA SECCION,20/03/19,20/03/19,16:40,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CUCAPAH,21/03/19,13/03/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,JOSE SANDOVAL,27/03/19,26/03/19,16:40,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,RIO TIJUANA TERCERA ETAPA,01/04/19,01/04/19,16:40,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,FRANCISCO VILLA,07/04/19,06/04/19,16:40,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,CHAPULTEPEC ALAMAR,10/04/19,10/04/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,GRANJAS FAMILIARES DIVISION DEL NORTE,17/04/19,17/04/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,PATRIMONIO FAMILIAR,24/04/19,04/04/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,10 DE MAYO,24/04/19,24/04/19,16:40,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),SECCION JARDINES PLAYAS DE TIJUANA,26/03/19,16/03/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,CHIHUAHUA,03/05/19,02/05/19,16:40,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),10 DE MAYO,28/05/19,19/05/19,16:40,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,COSTA DE ORO,17/06/19,16/06/19,16:40,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,JUAREZ,28/06/19,28/06/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,PORTICOS DE SAN ANTONIO,02/07/19,30/06/19,16:40,TIJUANA
SECUESTRO (CONFIRMADO),SECUESTRO,CIUDAD JARDIN,18/07/19,18/07/19,16:40,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),CHAPULTEPEC CALIFORNIA,28/07/19,28/07/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,AMERICAS ESTE Y OESTE,12/08/19,11/08/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,MARIANO MATAMOROS CENTRO,28/08/19,28/08/19,16:40,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),RAMIREZ,25/08/19,25/08/19,16:40,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,RUBIO,20/08/19,09/08/19,16:40,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),LOMAS DE LA PRESA,12/09/19,11/09/19,16:40,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),ZONA RIO,08/09/19,08/09/19,16:40,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CALETE,19/09/19,19/09/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,RINCON DORADO,10/09/19,07/09/19,16:40,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),CERRO COLORADO SEGUNDA SECCION,01/10/19,01/10/19,16:40,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,ZONA URBANA RIO TIJUANA,27/10/19,27/10/19,16:40,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,MARIANO MATAMOROS NORTE,15/11/19,15/11/19,16:40,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),20 DE NOVIEMBRE,19/11/19,19/11/19,16:40,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,LOMAS DEL MATAMOROS,02/12/19,02/12/19,16:40,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,MARRON,12/12/19,09/12/19,16:40,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,VALLE VISTA PRIMERA SECCION,19/12/19,14/12/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,TERRAZAS DEL VALLE,21/12/19,16/12/19,16:40,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,POBLADO DEL EJIDO FRANCISCO VILLA,24/04/19,09/04/19,16:41,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),FRANCISCO VILLA,21/05/19,21/05/19,16:41,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,REYNOSO,13/06/19,13/06/19,16:41,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),EJIDO FRANCISCO VILLA,10/07/19,10/07/19,16:41,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),MI RANCHITO,06/09/19,06/09/19,16:41,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,OBRERA,09/05/19,09/05/19,16:42,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,OTAY JARDIN,05/06/19,05/06/19,16:42,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LA MESA,08/06/19,08/06/19,16:42,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),VILLA DEL CAMPO RES II,29/03/19,28/03/19,16:43,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,EL RUBI,26/07/19,26/07/19,16:43,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),VILLA DEL ALAMO,01/08/19,01/08/19,16:43,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,LA GLORIA,31/08/19,31/08/19,16:43,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,PASEOS DEL FLORIDO,11/12/19,27/11/19,16:43,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),PINOS DE NAREZ ,04/03/19,04/03/19,16:44,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,RUIZ CORTINEZ,08/03/19,05/03/19,16:44,TIJUANA
ROBO CON VIOLENCIA A CASA,ROBO CON VIOLENCIA A CASA,MARIANO MATAMOROS CENTRO,11/04/19,11/04/19,16:44,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),SANCHEZ TABOADA II,03/09/19,03/09/19,16:44,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),EJIDO LAZARO CARDENAS DELEGACION NATURA,14/10/19,14/10/19,16:44,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,RIO TIJUANA TERCERA ETAPA,03/11/19,02/11/19,16:44,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,GENERACION 2000,20/01/19,20/01/19,16:45,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,FRANCISCO VILLA,02/02/19,31/01/19,16:45,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,VISTA ALAMAR,05/02/19,04/02/19,16:45,TIJUANA
ROBO EQUIPARADO ,OTROS ROBOS SIN VIOLENCIA,CAMINO VERDE,11/02/19,11/02/19,16:45,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),LIBERTAD,16/02/19,16/02/19,16:45,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,RESIDENCIAL SANTA FE,19/01/19,18/01/19,16:45,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,INFONAVIT CAPISTRANO,21/03/19,20/03/19,16:45,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,MEXICO LINDO,07/03/19,05/03/19,16:45,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,CARRETERA LIBRE (1630) MEXICALI TIJUANA,25/05/19,25/05/19,16:45,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,FRACC HCDA LAS DELICIAS,11/06/19,07/06/19,16:45,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,FRANCISCO ZARCO,12/06/19,12/06/19,16:45,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,LOMAS DEL MATAMOROS,17/07/19,15/07/19,16:45,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),NIÑOS HEROES,18/08/19,18/08/19,16:45,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,OTAY,17/09/19,17/09/19,16:45,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,EL REFUGIO,21/09/19,21/09/19,16:45,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,BAJA MAQ. EL AGUILA,14/10/19,11/10/19,16:45,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,EMPLEADO POSTAL,25/10/19,25/10/19,16:45,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,MARIANO MATAMOROS,02/12/19,02/12/19,16:45,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),EJIDO CHILPANCINGO ,14/12/19,14/12/19,16:45,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,SALVATIERRA,20/12/19,15/12/19,16:45,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,SANCHEZ TABOADA,11/12/19,09/12/19,16:45,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,LAGO SUR,15/01/19,15/01/19,16:46,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,NUEVA TIJUANA,24/01/19,24/01/19,16:46,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,LA MESA,25/04/19,25/04/19,16:46,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,CUMBRES DE FLORES MAGON,06/08/19,05/08/19,16:46,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),EL RUBI,14/11/19,14/11/19,16:46,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),OTAY GALERIAS,24/12/19,24/12/19,16:46,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),EL LAGO,28/12/19,28/12/19,16:46,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),COLINAS DE CALIFORNIA ,26/06/19,26/06/19,16:47,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),CUMBRES DEL RUBI,26/07/19,25/07/19,16:47,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,EJIDO FRANCISCO VILLA,03/09/19,03/09/19,16:47,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,FRANCISCO VILLA,18/09/19,17/09/19,16:47,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,GRANJAS FAMILIARES DEL MATAMOROS,28/11/19,27/11/19,16:47,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOMAS ALTAS I,24/05/19,18/05/19,16:48,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,LOMAS TAURINAS,16/07/19,12/07/19,16:49,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL LAGO,29/01/19,29/01/19,16:50,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,20 DE NOVIEMBRE,15/02/19,14/02/19,16:50,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,EL PIPILA,01/03/19,01/03/19,16:50,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),VALLE REDONDO,13/03/19,13/03/19,16:50,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),COLONIA SANCHEZ TABOADA,23/03/19,23/03/19,16:50,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,RESIDENCIAL SANTA FE III,28/02/19,27/02/19,16:50,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,CHAPULTEPEC ALAMAR,11/04/19,11/04/19,16:50,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,JARDIN DORADO,21/04/19,04/04/19,16:50,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),LA MORITA,14/05/19,13/05/19,16:50,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,EL MIRADOR,10/07/19,10/07/19,16:50,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL LAGO,16/07/19,12/07/19,16:50,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,COLINAS DE AGUA CALIENTE,02/08/19,02/08/19,16:50,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,EL LAGO,29/10/19,29/10/19,16:50,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),GUAYCURA,26/10/19,26/10/19,16:50,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,OTAY UNIVERSIDAD,07/11/19,06/11/19,16:50,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,PLAYAS,03/12/19,29/11/19,16:50,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,AEROPUERTO,09/12/19,09/12/19,16:50,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,TERRAZAS DEL VALLE,17/12/19,17/12/19,16:50,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,INFONAVIT LOMAS VERDES,03/01/19,30/12/18,16:51,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,EJIDO OJO DE AGUA,13/03/19,13/03/19,16:51,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CIUDAD JARDIN,06/05/19,02/05/19,16:51,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,INTERNACIONAL,16/08/19,16/08/19,16:51,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),URBIVILLA DEL PRADO ,08/09/19,08/09/19,16:51,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,10 DE MAYO,07/09/19,01/09/19,16:51,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),JUAREZ,11/01/19,04/01/19,16:52,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,INDECO UNIVERSIDAD,29/05/19,29/05/19,16:53,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),LAS FUENTES,02/07/19,02/07/19,16:53,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,EL REFUGIO,18/07/19,06/07/19,16:53,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,VILLA FONTANA VI,16/08/19,16/08/19,16:53,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,ZONA CENTRO,04/08/19,04/08/19,16:53,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),COLINAS DEL SOL,09/10/19,09/10/19,16:53,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,LA JOYA,22/10/19,21/10/19,16:53,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,JARDIN DORADO,05/11/19,20/10/19,16:53,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),RANCHO LAS FLORES 2,15/06/19,15/06/19,16:54,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,XXX,25/07/19,25/07/19,16:54,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,URBIVILLA DEL PRADO,10/10/19,30/09/19,16:54,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),VILLA FONTANA XI,03/01/19,03/01/19,16:55,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),CORONA ENCANTADA SECC III,25/04/19,25/04/19,16:55,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),PEDREGAL DE SANTA JULIA,13/01/19,13/01/19,16:55,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),10012,28/02/19,28/02/19,16:55,TIJUANA
